date,running_total
Sat Jan 30 2016 20:52:10 GMT-0800 (PST),187
Sun Jan 31 2016 00:29:54 GMT-0800 (PST),188
Sun Jan 31 2016 12:17:57 GMT-0800 (PST),189
Sun Jan 31 2016 15:07:23 GMT-0800 (PST),190
Sun Jan 31 2016 16:18:02 GMT-0800 (PST),191
Sun Jan 31 2016 16:18:02 GMT-0800 (PST),194
Sun Jan 31 2016 16:19:25 GMT-0800 (PST),195
Sun Jan 31 2016 16:24:03 GMT-0800 (PST),196
Sun Jan 31 2016 16:26:16 GMT-0800 (PST),199
Sun Jan 31 2016 17:44:43 GMT-0800 (PST),200
Sun Jan 31 2016 17:51:24 GMT-0800 (PST),203
Sun Jan 31 2016 19:22:49 GMT-0800 (PST),204
Sun Jan 31 2016 19:36:21 GMT-0800 (PST),205
Sun Jan 31 2016 19:42:41 GMT-0800 (PST),206
Sun Jan 31 2016 21:27:01 GMT-0800 (PST),207
Mon Feb 01 2016 00:20:21 GMT-0800 (PST),208
Mon Feb 01 2016 08:44:31 GMT-0800 (PST),209
Mon Feb 01 2016 08:45:09 GMT-0800 (PST),212
Mon Feb 01 2016 09:18:23 GMT-0800 (PST),213
Mon Feb 01 2016 09:25:37 GMT-0800 (PST),214
Mon Feb 01 2016 15:16:15 GMT-0800 (PST),215
Mon Feb 01 2016 15:18:11 GMT-0800 (PST),218
Mon Feb 01 2016 15:19:06 GMT-0800 (PST),219
Mon Feb 01 2016 15:21:48 GMT-0800 (PST),222
Mon Feb 01 2016 18:08:28 GMT-0800 (PST),223
Mon Feb 01 2016 19:09:06 GMT-0800 (PST),224
Mon Feb 01 2016 21:50:42 GMT-0800 (PST),225
Mon Feb 01 2016 21:50:43 GMT-0800 (PST),226
Mon Feb 01 2016 21:50:45 GMT-0800 (PST),227
Mon Feb 01 2016 21:51:10 GMT-0800 (PST),228
Mon Feb 01 2016 21:51:11 GMT-0800 (PST),229
Mon Feb 01 2016 21:51:13 GMT-0800 (PST),230
Mon Feb 01 2016 21:51:14 GMT-0800 (PST),231
Mon Feb 01 2016 21:51:17 GMT-0800 (PST),232
Mon Feb 01 2016 21:51:18 GMT-0800 (PST),233
Mon Feb 01 2016 21:51:20 GMT-0800 (PST),234
Mon Feb 01 2016 21:51:49 GMT-0800 (PST),235
Mon Feb 01 2016 21:51:55 GMT-0800 (PST),236
Mon Feb 01 2016 21:51:55 GMT-0800 (PST),237
Mon Feb 01 2016 21:51:56 GMT-0800 (PST),238
Mon Feb 01 2016 21:51:58 GMT-0800 (PST),239
Mon Feb 01 2016 21:51:59 GMT-0800 (PST),240
Mon Feb 01 2016 21:52:03 GMT-0800 (PST),241
Mon Feb 01 2016 21:52:04 GMT-0800 (PST),242
Mon Feb 01 2016 21:52:05 GMT-0800 (PST),243
Mon Feb 01 2016 21:52:07 GMT-0800 (PST),244
Mon Feb 01 2016 21:52:09 GMT-0800 (PST),245
Mon Feb 01 2016 21:52:10 GMT-0800 (PST),246
Mon Feb 01 2016 21:52:11 GMT-0800 (PST),247
Mon Feb 01 2016 21:52:12 GMT-0800 (PST),248
Mon Feb 01 2016 21:52:13 GMT-0800 (PST),249
Mon Feb 01 2016 21:52:14 GMT-0800 (PST),250
Mon Feb 01 2016 21:52:16 GMT-0800 (PST),251
Mon Feb 01 2016 21:52:18 GMT-0800 (PST),252
Mon Feb 01 2016 21:52:21 GMT-0800 (PST),253
Mon Feb 01 2016 21:52:23 GMT-0800 (PST),254
Mon Feb 01 2016 21:52:24 GMT-0800 (PST),255
Mon Feb 01 2016 21:52:26 GMT-0800 (PST),256
Mon Feb 01 2016 21:52:27 GMT-0800 (PST),257
Mon Feb 01 2016 21:52:28 GMT-0800 (PST),258
Mon Feb 01 2016 21:52:30 GMT-0800 (PST),259
Mon Feb 01 2016 21:52:31 GMT-0800 (PST),260
Mon Feb 01 2016 21:52:32 GMT-0800 (PST),261
Mon Feb 01 2016 21:52:33 GMT-0800 (PST),262
Mon Feb 01 2016 21:52:34 GMT-0800 (PST),263
